Verein;Name;Pos;Spec;PosSpec;Age;Age group;cm;kg;BMI;BMI Zone;Apps;Rt;Tackle;I;F;OW;Clr;Drb;BS;OG;G;A;SpG;KP;Drb;F;Off;Dis;Trn;A;KP;Avg P;PS%;C;LB;TB
Mainz;Loris Karius;GK;;GK;20;bis 20;189;75;20.99605274;normal;0(1);6.34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;11;45.5;-;5;-
Düsseldorf;Robert Almer;GK;;GK;29;bis 30;194;88;23.38186842;normal;0(1);6.11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;50;-;1;-
Düsseldorf;André Fomitschow;M;;M;22;bis 26;180;75;23.14814815;normal;0(1);6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;Mamadou Bah;M;;M;25;bis 26;182;75;22.64219297;normal;0(1);6.08;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;10;100;-;-;-
Freiburg;Marc Lais;M;;M;22;bis 26;184;80;23.6294896;normal;0(1);5.93;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;7;100;-;-;-
Mainz;Nejmeddin Daghfous;M;;M;26;bis 30;178;79;24.93372049;normal;0(1);5.94;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;6;83.3;-;-;-
Leverkusen;Okan Aydin;M;;M;19;bis 20;171;62;21.20310523;normal;0(1);6.25;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4;75;-;1;-
Freiburg;Tim Albutat;M;;M;20;bis 20;184;66;19.49432892;normal;0(1);6.18;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;Federico Macheda;FW;;FW;21;bis 26;184;77;22.74338374;normal;0(14);6.14;0.1;0.1;0.4;-;-;0.2;-;-;-;-;0.1;-;1.1;0.1;0.4;0.4;0.1;-;-;4.9;83.8;-;0.3;-
Augsburg;Somen Tchoyi;AM;R;AM(R);30;bis 30;190;90;24.93074792;normal;0(2);5.78;-;-;0.5;-;-;-;-;-;-;-;1.5;-;-;-;0.5;0.5;0.5;-;-;3;66.7;-;-;-
Stuttgart;Benedikt Röcker;D;;D;23;bis 26;197;90;23.19049705;normal;0(2);6.17;0.5;1;-;-;1.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.5;80;-;-;-
Hannover;Deniz Kadah;FW;;FW;27;bis 30;186;75;21.6788068;normal;0(2);5.8;-;-;0.5;-;-;-;-;-;-;-;-;-;-;-;-;0.5;-;-;-;0.5;100;-;-;-
Frankfurt;Dorge Kouemaha;FW;;FW;30;bis 30;188;86;24.33227705;normal;0(2);5.95;-;-;0.5;-;-;-;-;-;-;-;0.5;-;0.5;-;0.5;1.5;0.5;-;-;8;81.3;-;0.5;-
Bremen;Johannes Wurtz;FW;;FW;21;bis 26;182;76;22.94408888;normal;0(2);6.36;-;-;0.5;-;-;-;-;-;-;1;-;0.5;-;-;-;-;-;1;0.5;5.5;45.5;-;0.5;-
Stuttgart;Soufian Benyamina;FW;;FW;23;bis 26;189;78;21.83589485;normal;0(2);6;-;-;-;-;-;-;-;-;-;-;0.5;-;-;-;-;-;-;-;-;0.5;-;-;-;-
Bremen;Aleksandar Stevanovic;M;;M;21;bis 26;175;65;21.2244898;normal;0(2);6.01;-;0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7.5;80;-;-;-
Freiburg;Ezequiel;M;;M;22;bis 26;169;59;20.65754;normal;0(2);6.26;0.5;0.5;0.5;-;-;-;-;-;-;-;0.5;0.5;-;1.5;-;-;-;-;0.5;5.5;72.7;0.5;-;-
Bayern;Pierre Höjbjerg;M;;M;17;bis 20;186;81;23.41311134;normal;0(2);6.11;-;-;-;-;-;-;-;-;-;-;-;0.5;-;-;-;-;-;-;0.5;4.5;66.7;0.5;-;-
Stuttgart;Daniel Didavi;AM;C;AM(C);23;bis 26;179;74;23.09540901;normal;0(3);6.2;0.3;0.3;0.3;-;-;-;-;-;-;-;0.7;0.3;0.7;0.3;-;0.3;0.3;-;0.3;9;85.2;0.3;0.3;-
Nürnberg;Noah Korczowski;D;;D;19;bis 20;185;80;23.37472608;normal;0(3);6.02;-;-;-;-;0.7;-;-;-;-;-;0.3;-;-;-;-;-;-;-;-;0.3;-;-;-;-
Hamburg;Gojko Kacar;D;C;D(C);26;bis 30;185;84;24.54346238;normal;0(3);6.38;1.7;0.3;0.3;-;0.7;0.3;-;-;-;-;-;-;0.3;0.3;-;0.3;-;-;-;5;73.3;-;0.7;0.3
Freiburg;Garra Dembélé;FW;;FW;27;bis 30;187;79;22.59143813;normal;0(3);6.21;-;0.3;1.3;-;0.3;-;-;-;-;-;1;0.3;0.7;-;0.3;-;0.3;-;0.3;3.7;45.5;-;-;-
Düsseldorf;Gerrit Wegkamp;FW;;FW;20;bis 20;193;82;22.0140138;normal;0(3);6.02;0.3;-;-;-;-;-;-;-;-;-;0.3;-;-;-;-;0.3;-;-;-;0.3;100;-;-;-
Hamburg;Gojko Kacar;M;C;M(C);26;bis 30;185;84;24.54346238;normal;0(3);6.38;1.7;0.3;0.3;-;0.7;0.3;-;-;-;-;-;-;0.3;0.3;-;0.3;-;-;-;5;73.3;-;0.7;0.3
Hamburg;Robert Tesche;DM;C;DM(C);26;bis 30;183;77;22.99262444;normal;0(4);6.27;1.8;1.5;0.8;-;0.3;-;-;-;-;-;-;0.3;-;0.5;-;-;-;-;0.3;9.5;73.7;-;0.5;-
Leverkusen;Dominik Kohr;M;;M;19;bis 20;183;75;22.39541342;normal;0(4);6.19;0.8;0.8;0.5;-;-;0.3;-;-;-;-;-;-;0.3;-;-;-;0.3;-;-;2.3;55.6;-;0.3;-
Hoffenheim;Andreas Ludwig;M;;M;22;bis 26;172;68;22.98539751;normal;0(5);6.07;0.4;0.6;0.4;-;-;0.4;-;-;-;-;0.6;0.2;-;-;0.8;0.6;-;-;0.2;7.4;70.3;-;0.2;-
Schalke;Max Meyer;M;;M;17;bis 20;169;65;22.75830678;normal;0(5);6.25;0.4;-;0.2;-;-;-;-;-;-;1;0.2;0.2;0.2;0.2;-;0.6;0.4;1;0.2;6.6;84.8;0.2;0.6;-
Nürnberg;Muhammed Ildiz;M;;M;22;bis 26;179;75;23.40750913;normal;0(5);6.27;0.4;0.4;0.2;-;-;0.4;-;-;-;-;0.4;-;1;0.6;0.2;0.4;-;-;-;4.6;78.3;-;-;-
Leverkusen;Renato Augusto;AM;C;AM(C);25;bis 26;186;90;26.01456816;overweight;0(6);6.05;0.2;0.2;0.2;-;-;0.3;-;-;-;-;0.5;-;-;0.2;-;0.3;0.2;-;-;10.3;79;-;1.5;-
Frankfurt;Benjamin Köhler;M;C;M(C);32;bis 35;172;66;22.30935641;normal;0(6);6.01;-;0.2;-;-;0.2;0.2;-;-;-;-;-;-;0.2;-;-;0.2;-;-;-;2.3;64.3;-;-;-
Leverkusen;Renato Augusto;AM;C;AM(C);25;bis 26;186;90;26.01456816;overweight;0(6);6.05;0.2;0.2;0.2;-;-;0.3;-;-;-;-;0.5;-;-;0.2;-;0.3;0.2;-;-;10.3;79;-;1.5;-
Frankfurt;Benjamin Köhler;D;L;D(L);32;bis 35;172;66;22.30935641;normal;0(6);6.01;-;0.2;-;-;0.2;0.2;-;-;-;-;-;-;0.2;-;-;0.2;-;-;-;2.3;64.3;-;-;-
Leverkusen;Arkadiusz Milik;FW;;FW;19;bis 20;189;79;22.11584222;normal;0(6);6.1;-;-;0.2;-;-;-;-;-;-;-;0.8;-;-;0.2;-;0.5;-;-;-;3;66.7;-;-;-
Augsburg;Giovanni Sio;FW;;FW;24;bis 26;180;70;21.60493827;normal;0(6);6.13;1;0.5;1.7;-;-;0.7;-;-;-;-;1.2;0.5;0.8;0.7;0.2;0.7;0.8;-;0.5;10.8;80;0.7;0.7;-
Leverkusen;Junior Fernandes;FW;;FW;24;bis 26;181;78;23.80879705;normal;0(6);6.3;0.3;-;-;-;-;0.2;-;-;-;1;0.3;0.5;0.5;0.2;0.2;0.7;-;1;0.5;3;77.8;-;-;0.2
Wolfsburg;Rasmus Jönsson;FW;;FW;23;bis 26;192;71;19.25998264;normal;0(6);5.99;0.2;-;0.3;-;-;0.2;-;-;-;-;0.2;0.2;-;0.2;0.2;0.3;0.3;-;0.2;4.2;80;0.2;0.2;-
Frankfurt;Sonny Kittel;M;;M;20;bis 20;178;65;20.51508648;normal;0(6);6.17;0.3;0.3;-;-;-;0.2;-;-;-;-;0.2;0.3;0.3;0.5;-;0.2;0.2;-;0.3;2.2;76.9;0.2;-;-
Fürth;Tobias Mikkelsen;M;;M;26;bis 30;178;73;23.0400202;normal;0(6);6.07;0.2;-;-;-;-;0.5;-;-;-;-;0.3;0.2;0.2;-;-;-;0.2;-;0.2;5.7;70.6;-;0.2;-
Leverkusen;Renato Augusto;AM;L;AM(L);25;bis 26;186;90;26.01456816;overweight;0(6);6.05;0.2;0.2;0.2;-;-;0.3;-;-;-;-;0.5;-;-;0.2;-;0.3;0.2;-;-;10.3;79;-;1.5;-
Frankfurt;Benjamin Köhler;M;L;M(L);32;bis 35;172;66;22.30935641;normal;0(6);6.01;-;0.2;-;-;0.2;0.2;-;-;-;-;-;-;0.2;-;-;0.2;-;-;-;2.3;64.3;-;-;-
Leverkusen;Renato Augusto;AM;R;AM(R);25;bis 26;186;90;26.01456816;overweight;0(6);6.05;0.2;0.2;0.2;-;-;0.3;-;-;-;-;0.5;-;-;0.2;-;0.3;0.2;-;-;10.3;79;-;1.5;-
Freiburg;Anton Putsila;AM;C;AM(C);26;bis 30;180;74;22.83950617;normal;1(1);6.6;1.5;1;1;-;0.5;0.5;-;-;-;-;1;1;1;1;-;3.5;1.5;-;1;27;88.9;-;2;-
Freiburg;Anton Putsila;AM;C;AM(C);26;bis 30;180;74;22.83950617;normal;1(1);6.6;1.5;1;1;-;0.5;0.5;-;-;-;-;1;1;1;1;-;3.5;1.5;-;1;27;88.9;-;2;-
Fürth;Florian Trinks;AM;C;AM(C);21;bis 26;183;79;23.58983547;normal;1(1);6.39;0.5;-;1;-;-;0.5;-;-;1;-;1.5;0.5;-;0.5;-;2;1.5;-;0.5;14.5;69;-;1;-
Hoffenheim;Niklas Süle;D;;D;17;bis 20;194;91;24.17897757;normal;1(1);5.79;0.5;-;-;-;0.5;-;-;-;-;-;-;-;-;0.5;-;-;1;-;-;21.5;88.4;-;2.5;-
Wolfsburg;Sotirios Kyrgiakos;D;C;D(C);34;bis 35;193;88;23.6247953;normal;1(1);7.21;2.5;2;-;0.5;7.5;1;1.5;-;-;-;0.5;-;0.5;2.5;-;-;-;-;-;30;75;-;2;-
Augsburg;Michael Parkhurst;D;R;D(R);29;bis 30;182;72;21.73650525;normal;1(1);6.96;1.5;0.5;0.5;-;2.5;1;0.5;-;-;-;1;0.5;1.5;0.5;-;0.5;0.5;-;0.5;47;89.4;0.5;1.5;-
Hoffenheim;Luis Advincula;M;;M;23;bis 26;178;77;24.30248706;normal;1(1);6;1.5;-;1;-;-;-;-;-;-;-;0.5;0.5;-;1.5;-;1.5;1;-;0.5;8;75;-;1;-
Wolfsburg;Yohandry Orozco;M;;M;22;bis 26;164;55;20.44913742;normal;1(1);7.02;2;0.5;0.5;-;0.5;1;0.5;-;-;1;1;1.5;3;0.5;-;3;1;1;1.5;28;73.2;0.5;3;1
Freiburg;Anton Putsila;AM;L;AM(L);26;bis 30;180;74;22.83950617;normal;1(1);6.6;1.5;1;1;-;0.5;0.5;-;-;-;-;1;1;1;1;-;3.5;1.5;-;1;27;88.9;-;2;-
Freiburg;Anton Putsila;AM;R;AM(R);26;bis 30;180;74;22.83950617;normal;1(1);6.6;1.5;1;1;-;0.5;0.5;-;-;-;-;1;1;1;1;-;3.5;1.5;-;1;27;88.9;-;2;-
Bremen;Niclas Füllkrug;FW;;FW;20;bis 20;188;78;22.06880942;normal;1(11);6.26;0.6;-;0.6;-;-;0.3;-;-;1;-;0.3;0.4;0.7;0.4;0.1;0.5;0.6;-;0.4;8.1;75.3;0.2;0.6;-
Hoffenheim;Vincenzo Grifo;M;;M;20;bis 20;180;75;23.14814815;normal;1(11);6.32;0.4;0.3;0.3;-;0.3;0.5;-;-;-;1;0.5;0.7;1.1;0.3;0.3;0.5;0.4;1;0.7;10.4;81.6;0.2;0.4;-
Freiburg;Ivan Santini;FW;;FW;24;bis 26;190;84;23.26869806;normal;1(13);6.46;0.6;0.1;0.6;-;0.1;0.1;0.1;-;1;2;0.4;0.3;0.5;0.7;0.1;0.8;0.4;2;0.3;7.6;72;-;0.1;-
Mainz;Ivan Klasnic;FW;;FW;33;bis 35;186;82;23.7021621;normal;1(2);6.18;-;-;0.3;-;-;0.3;-;-;1;-;0.7;-;-;-;-;0.7;0.3;-;-;6;72.2;-;0.7;-
Fürth;Tayfun Pektürk;M;;M;25;bis 26;176;75;24.21229339;normal;1(2);6.34;0.7;0.3;0.3;-;-;-;-;-;-;-;0.7;0.3;1.3;1;-;0.7;-;-;0.3;12.3;75.7;-;-;-
Hamburg;Paul Scharner;D;C;D(C);33;bis 35;191;81;22.20333872;normal;1(3);5.96;0.3;0.3;1.3;-;0.3;0.3;-;-;-;-;0.3;-;-;-;-;-;0.3;-;-;5.8;73.9;-;0.5;-
Schalke;Christoph Metzelder;D;C;D(C);32;bis 35;194;92;24.44468062;normal;1(3);6.29;1.3;1.8;-;-;2;0.5;0.3;-;-;-;-;-;0.5;0.5;-;0.5;0.5;-;-;13;80.8;-;1.3;-
Wolfsburg;Patrick Helmes;FW;;FW;29;bis 30;182;81;24.45356841;normal;1(3);6.39;0.3;0.3;0.8;-;0.3;0.8;0.3;-;-;-;0.8;0.3;0.5;-;-;0.3;0.5;-;0.3;10.5;78.6;0.5;0.5;-
Hannover;Adrian Nikci;M;;M;23;bis 26;182;76;22.94408888;normal;1(3);6.5;0.3;0.5;1;-;1.3;0.5;-;-;1;-;0.8;-;0.8;0.8;-;0.5;-;-;-;10.3;73.2;-;-;-
Wolfsburg;Ferhan Hasani;M;;M;23;bis 26;188;67;18.95654142;normal;1(3);6.28;0.8;1.8;1.3;-;-;1;-;-;-;-;0.5;0.5;0.3;1.8;-;2.5;0.8;-;0.5;13.3;69.8;0.8;-;0.3
Nürnberg;Mu Kanazaki;M;;M;24;bis 26;180;70;21.60493827;normal;1(3);6.09;-;0.3;0.8;-;-;0.5;-;-;-;-;0.5;0.8;0.5;0.3;0.5;0.8;0.8;-;0.8;10.5;83.3;-;0.5;-
Hamburg;Paul Scharner;M;C;M(C);33;bis 35;191;81;22.20333872;normal;1(3);5.96;0.3;0.3;1.3;-;0.3;0.3;-;-;-;-;0.3;-;-;-;-;-;0.3;-;-;5.8;73.9;-;0.5;-
Frankfurt;Constant Djakpa;D;L;D(L);26;bis 30;177;71;22.66270867;normal;1(4);6.69;1.4;1.6;-;-;1.2;-;-;-;-;-;0.2;1;0.4;0.4;-;0.4;0.6;-;1;19;73.7;1;2.4;-
Frankfurt;Constant Djakpa;DM;C;DM(C);26;bis 30;177;71;22.66270867;normal;1(4);6.69;1.4;1.6;-;-;1.2;-;-;-;-;-;0.2;1;0.4;0.4;-;0.4;0.6;-;1;19;73.7;1;2.4;-
Freiburg;Marco Terrazzino;FW;;FW;22;bis 26;176;74;23.88946281;normal;1(5);6.45;0.3;0.3;0.2;-;-;0.2;0.2;-;1;1;0.3;0.5;0.8;-;0.2;0.2;0.2;1;0.5;9.8;74.6;0.2;0.3;-
Wolfsburg;Srdjan Lakic;FW;;FW;29;bis 30;186;85;24.56931437;normal;1(7);6.12;0.1;-;1.1;-;0.4;0.3;-;-;-;-;0.6;-;0.3;-;0.3;0.1;0.4;-;-;3.6;75.9;-;-;-
Mainz;Chinedu Ede;M;;M;26;bis 30;178;83;26.19618735;overweight;1(8);6.23;0.1;-;0.2;-;-;-;-;-;1;-;0.7;0.7;0.3;0.2;0.3;1.1;0.8;-;0.7;5.7;74.5;0.3;0.2;0.2
Düsseldorf;Du-Ri Cha;D;R;D(R);33;bis 35;181;79;24.11403803;normal;1(9);6.15;0.7;0.3;0.7;-;0.1;0.4;-;-;-;-;0.3;0.5;0.3;0.2;-;0.3;0.4;-;0.5;9.9;74.7;0.6;0.1;-
Hannover;Sébastien Pocognoli;D;L;D(L);25;bis 26;185;81;23.66691015;normal;10(1);6.55;1.6;1.1;2;0.1;2.1;0.4;0.3;-;-;1;0.4;0.4;1;0.4;0.1;1.3;0.7;1;0.4;21.4;68.5;0.5;0.5;-
Leverkusen;Sidney Sam;AM;L;AM(L);25;bis 26;174;71;23.45091822;normal;10(12);6.9;1.1;0.5;0.4;-;-;0.3;-;-;5;2;1.6;1.1;1.5;0.8;0.3;2.2;1;2;1.1;15.6;82.8;0.2;0.7;0.1
Leverkusen;Sidney Sam;AM;R;AM(R);25;bis 26;174;71;23.45091822;normal;10(12);6.9;1.1;0.5;0.4;-;-;0.3;-;-;5;2;1.6;1.1;1.5;0.8;0.3;2.2;1;2;1.1;15.6;82.8;0.2;0.7;0.1
Freiburg;Johannes Flum;D;C;D(C);25;bis 26;190;80;22.16066482;normal;10(16);6.59;1;1.2;0.7;0.3;1.2;1.2;0.2;-;1;-;0.6;0.3;1;0.7;0.1;0.6;0.5;-;0.3;27;80.9;-;1.9;0.1
Nürnberg;Sebastian Polter;FW;;FW;22;bis 26;190;88;24.3767313;normal;10(16);6.42;0.6;0.2;2;-;0.3;0.3;-;-;5;-;0.9;0.3;0.6;0.8;0.5;1.3;1.7;-;0.3;8.2;61.8;0.1;0.2;-
Freiburg;Johannes Flum;M;C;M(C);25;bis 26;190;80;22.16066482;normal;10(16);6.59;1;1.2;0.7;0.3;1.2;1.2;0.2;-;1;-;0.6;0.3;1;0.7;0.1;0.6;0.5;-;0.3;27;80.9;-;1.9;0.1
Hamburg;Petr Jiracek;M;C;M(C);27;bis 30;180;77;23.7654321;normal;10(3);6.44;1.5;0.8;3;-;0.9;1.2;0.2;-;1;1;0.7;0.4;0.7;1.2;0.1;1.4;0.8;1;0.4;15.4;77.5;0.1;0.4;-
Hamburg;Petr Jiracek;M;C;M(C);27;bis 30;180;77;23.7654321;normal;10(3);6.44;1.5;0.8;3;-;0.9;1.2;0.2;-;1;1;0.7;0.4;0.7;1.2;0.1;1.4;0.8;1;0.4;15.4;77.5;0.1;0.4;-
Augsburg;Andreas Ottl;DM;C;DM(C);28;bis 30;186;78;22.54595907;normal;10(3);6.36;1.3;2.1;0.8;-;0.8;1.2;0.1;-;-;1;0.7;0.4;0.3;0.5;-;0.5;0.4;1;0.4;34.9;81.7;0.1;3.6;-
Mainz;Niki Zimling;M;C;M(C);28;bis 30;178;77;24.30248706;normal;10(3);6.68;2.1;1.5;1.5;-;0.6;1;-;-;1;-;1.2;0.4;0.8;2;0.1;1.6;0.2;-;0.4;44.1;82;0.3;4.2;0.3
Hamburg;Petr Jiracek;M;L;M(L);27;bis 30;180;77;23.7654321;normal;10(3);6.44;1.5;0.8;3;-;0.9;1.2;0.2;-;1;1;0.7;0.4;0.7;1.2;0.1;1.4;0.8;1;0.4;15.4;77.5;0.1;0.4;-
Hamburg;Petr Jiracek;M;R;M(R);27;bis 30;180;77;23.7654321;normal;10(3);6.44;1.5;0.8;3;-;0.9;1.2;0.2;-;1;1;0.7;0.4;0.7;1.2;0.1;1.4;0.8;1;0.4;15.4;77.5;0.1;0.4;-
Mainz;Shawn Parker;FW;;FW;20;bis 20;179;76;23.71960925;normal;10(6);6.36;0.7;0.4;0.8;-;0.1;0.3;-;-;3;2;1.7;0.3;0.3;0.9;1.1;1.1;0.8;2;0.3;9.3;70.9;-;0.3;-
Hamburg;Jeffrey Bruma;D;C;D(C);21;bis 26;189;88;24.63536855;normal;10(8);6.59;0.8;1.4;1.4;0.4;4.6;0.2;0.3;-;1;1;0.3;0.1;0.8;0.6;-;0.4;0.1;1;0.1;32.3;82.8;-;3.7;-
Frankfurt;Olivier Occean;FW;;FW;31;bis 35;185;86;25.12783053;overweight;10(8);6.56;0.6;0.1;1.8;-;0.2;0.7;-;-;1;1;1.4;0.5;0.7;1.1;0.6;1.3;0.8;1;0.5;16.7;69.7;0.1;0.3;-
Hamburg;Jeffrey Bruma;D;R;D(R);21;bis 26;189;88;24.63536855;normal;10(8);6.59;0.8;1.4;1.4;0.4;4.6;0.2;0.3;-;1;1;0.3;0.1;0.8;0.6;-;0.4;0.1;1;0.1;32.3;82.8;-;3.7;-
Stuttgart;Shinji Okazaki;AM;L;AM(L);27;bis 30;174;76;25.10239133;overweight;11(14);6.23;0.8;0.6;1;-;0.4;0.8;-;-;1;-;1;0.2;0.7;1.1;0.3;1.5;0.8;-;0.2;10;81.6;0.1;0.5;-
Stuttgart;Shinji Okazaki;FW;;FW;27;bis 30;174;76;25.10239133;overweight;11(14);6.23;0.8;0.6;1;-;0.4;0.8;-;-;1;-;1;0.2;0.7;1.1;0.3;1.5;0.8;-;0.2;10;81.6;0.1;0.5;-
Stuttgart;Shinji Okazaki;AM;R;AM(R);27;bis 30;174;76;25.10239133;overweight;11(14);6.23;0.8;0.6;1;-;0.4;0.8;-;-;1;-;1;0.2;0.7;1.1;0.3;1.5;0.8;-;0.2;10;81.6;0.1;0.5;-
Augsburg;Torsten Oehrl;AM;C;AM(C);27;bis 30;191;84;23.0256846;normal;11(16);6.28;0.6;0.2;0.8;-;0.4;0.7;-;-;1;1;0.9;0.5;0.3;0.9;0.3;1.2;0.7;1;0.5;14.6;71.6;0.1;0.3;-
Augsburg;Torsten Oehrl;FW;;FW;27;bis 30;191;84;23.0256846;normal;11(16);6.28;0.6;0.2;0.8;-;0.4;0.7;-;-;1;1;0.9;0.5;0.3;0.9;0.3;1.2;0.7;1;0.5;14.6;71.6;0.1;0.3;-
Bayern;Daniel van Buyten;D;C;D(C);35;bis 35;197;95;24.478858;normal;11(2);7.05;1;2;0.7;0.3;3.2;0.8;0.3;-;-;-;0.8;-;-;0.2;0.1;0.2;0.2;-;-;63.9;91;-;5.8;-
Bayern;Arjen Robben;AM;L;AM(L);29;bis 30;180;80;24.69135802;normal;11(5);7.54;0.8;0.5;0.7;-;0.1;0.7;-;-;5;5;2.9;1.8;2.1;1.1;0.5;1.5;1;5;1.8;30.7;84.9;1.1;0.6;0.6
Stuttgart;Antonio Rüdiger;D;C;D(C);20;bis 20;190;85;23.54570637;normal;11(5);6.53;1.9;2.2;1.1;0.5;3.7;0.4;0.3;-;-;-;0.5;0.2;0.3;0.4;-;0.4;0.3;-;0.2;26.3;74.8;0.3;2.2;-
Bayern;Arjen Robben;AM;R;AM(R);29;bis 30;180;80;24.69135802;normal;11(5);7.54;0.8;0.5;0.7;-;0.1;0.7;-;-;5;5;2.9;1.8;2.1;1.1;0.5;1.5;1;5;1.8;30.7;84.9;1.1;0.6;0.6
Stuttgart;Antonio Rüdiger;D;R;D(R);20;bis 20;190;85;23.54570637;normal;11(5);6.53;1.9;2.2;1.1;0.5;3.7;0.4;0.3;-;-;-;0.5;0.2;0.3;0.4;-;0.4;0.3;-;0.2;26.3;74.8;0.3;2.2;-
Wolfsburg;Christian Träsch;D;R;D(R);25;bis 26;180;75;23.14814815;normal;11(6);6.66;1.6;1.8;1;0.1;0.5;1.6;-;-;-;1;0.4;0.5;1.2;0.6;-;0.8;0.3;1;0.5;28.8;85.9;-;2.4;0.2
Wolfsburg;Christian Träsch;D;R;D(R);25;bis 26;180;75;23.14814815;normal;11(6);6.66;1.6;1.8;1;0.1;0.5;1.6;-;-;-;1;0.4;0.5;1.2;0.6;-;0.8;0.3;1;0.5;28.8;85.9;-;2.4;0.2
Wolfsburg;Christian Träsch;DM;C;DM(C);25;bis 26;180;75;23.14814815;normal;11(6);6.66;1.6;1.8;1;0.1;0.5;1.6;-;-;-;1;0.4;0.5;1.2;0.6;-;0.8;0.3;1;0.5;28.8;85.9;-;2.4;0.2
Wolfsburg;Christian Träsch;M;R;M(R);25;bis 26;180;75;23.14814815;normal;11(6);6.66;1.6;1.8;1;0.1;0.5;1.6;-;-;-;1;0.4;0.5;1.2;0.6;-;0.8;0.3;1;0.5;28.8;85.9;-;2.4;0.2
Hannover;Christian Pander;D;L;D(L);29;bis 30;186;80;23.12406059;normal;11(7);6.4;0.7;1.2;0.3;0.1;1.9;0.9;0.3;-;-;1;0.6;1;0.2;0.2;0.1;0.3;0.3;1;1;24.3;66.7;1.1;1.7;-
Hannover;Christian Pander;M;L;M(L);29;bis 30;186;80;23.12406059;normal;11(7);6.4;0.7;1.2;0.3;0.1;1.9;0.9;0.3;-;-;1;0.6;1;0.2;0.2;0.1;0.3;0.3;1;1;24.3;66.7;1.1;1.7;-
Frankfurt;Karim Matmour;AM;C;AM(C);28;bis 30;181;75;22.89307408;normal;12(12);6.42;0.7;0.3;1.2;-;0.1;0.3;-;-;1;1;1.3;0.5;1;1;0.3;1.2;1.3;1;0.5;12.5;75.4;0.3;0.2;-
Frankfurt;Karim Matmour;FW;;FW;28;bis 30;181;75;22.89307408;normal;12(12);6.42;0.7;0.3;1.2;-;0.1;0.3;-;-;1;1;1.3;0.5;1;1;0.3;1.2;1.3;1;0.5;12.5;75.4;0.3;0.2;-
Frankfurt;Karim Matmour;AM;R;AM(R);28;bis 30;181;75;22.89307408;normal;12(12);6.42;0.7;0.3;1.2;-;0.1;0.3;-;-;1;1;1.3;0.5;1;1;0.3;1.2;1.3;1;0.5;12.5;75.4;0.3;0.2;-
Hannover;Mohammed Abdellaoue;FW;;FW;27;bis 30;182;82;24.75546432;normal;12(14);6.49;0.7;0.3;0.6;-;0.3;0.3;-;-;8;1;1;0.1;0.3;0.5;0.3;1;0.8;1;0.1;6.7;67.1;-;0.1;-
Düsseldorf;Robert Tesche;DM;C;DM(C);26;bis 30;183;77;22.99262444;normal;12(2);6.82;2.6;2.1;1.9;-;0.9;2.4;0.1;-;-;-;0.5;1.1;1.2;1.6;0.1;1;0.4;-;1.1;34.3;82.1;0.8;2.5;-
Leverkusen;Sebastian Boenisch;D;L;D(L);26;bis 30;191;85;23.2997999;normal;12(3);7.2;2.5;1.8;1;0.1;2.5;1;0.3;-;1;3;1.5;0.9;0.2;0.4;0.5;0.6;0.5;3;0.9;30.8;69.9;1;1.3;-
Schalke;Sead Kolasinac;D;L;D(L);20;bis 20;183;82;24.48565201;normal;12(4);6.78;3.2;2.2;1.7;0.1;1.6;1.2;0.1;-;-;1;0.3;0.4;0.3;0.4;-;0.9;0.6;1;0.4;27.2;74;0.1;1.1;-
Augsburg;André Hahn;M;R;M(R);22;bis 26;185;79;23.082542;normal;12(4);7.11;3.1;1.1;1.8;0.1;1.1;1.4;-;-;-;3;1.7;1.1;0.6;1.6;0.3;1.4;0.9;3;1.1;16.1;58.4;1.1;0.4;-
Fürth;Gerald Asamoah;AM;C;AM(C);34;bis 35;180;85;26.2345679;overweight;12(5);6.45;1.1;0.4;2.2;-;0.2;0.2;0.2;-;-;1;0.9;0.5;1.1;2.2;1.1;2.4;1.2;1;0.5;15.5;80.6;0.1;0.5;-
Fürth;Gerald Asamoah;FW;;FW;34;bis 35;180;85;26.2345679;overweight;12(5);6.45;1.1;0.4;2.2;-;0.2;0.2;0.2;-;-;1;0.9;0.5;1.1;2.2;1.1;2.4;1.2;1;0.5;15.5;80.6;0.1;0.5;-
Nürnberg;Timo Gebhart;AM;L;AM(L);24;bis 26;182;83;25.05736022;overweight;12(6);6.8;1.8;0.6;2.8;0.1;0.3;0.9;0.1;-;2;1;1.2;0.7;2.8;3.3;0.2;2.8;1.8;1;0.7;19.4;75.7;0.2;0.9;0.1
