Verein;Name;Pos;Spec;PosSpec;Age;Age group;cm;kg;BMI;BMI Zone;Apps;Rt;Tackle;I;F;OW;Clr;Drb;BS;OG;G;A;SpG;KP;Drb;F;Off;Dis;Trn;A;KP;Avg P;PS%;C;LB;TB
Hannover;Steven Cherundolo;D;R;D(R);34;bis 35;172;69;23.32341806;normal;20;6.79;2;3.2;1;0.4;3.2;0.7;0.1;-;-;1;0.2;0.4;0.9;1.3;-;0.9;0.7;1;0.4;45;76.4;0.2;1.7;0.1
Hamburg;Michael Mancienne;D;C;D(C);25;bis 26;184;80;23.6294896;normal;21;7.12;2;1.8;1.1;0.8;8.4;0.5;1.3;-;-;-;0.1;-;0.2;0.3;-;0.2;0.2;-;-;49.5;85.8;-;5.5;-
Düsseldorf;Stelios Malezas;D;C;D(C);28;bis 30;192;80;21.70138889;normal;21;6.9;2.5;2;0.6;0.9;6.4;0.6;1;-;-;-;0.1;0.1;0.2;0.2;-;0.2;0.1;-;0.1;33.8;80;-;4.6;-
Gladbach;Oscar Wendt;D;L;D(L);27;bis 30;181;82;25.029761;overweight;21;6.85;1;2.1;1.1;0.4;2.4;0.4;0.2;-;1;3;0.3;0.8;0.9;0.9;-;0.7;0.4;3;0.8;42.2;80.8;0.8;1.4;-
Hamburg;Michael Mancienne;DM;C;DM(C);25;bis 26;184;80;23.6294896;normal;21;7.12;2;1.8;1.1;0.8;8.4;0.5;1.3;-;-;-;0.1;-;0.2;0.3;-;0.2;0.2;-;-;49.5;85.8;-;5.5;-
Schalke;Timo Hildebrand;GK;;GK;34;bis 35;186;80;23.12406059;normal;21;6.47;-;0.1;-;-;0.8;-;-;-;-;-;-;-;-;0.2;-;-;-;-;-;24.2;70.1;-;6.9;-
Gladbach;Thorben Marx;DM;C;DM(C);32;bis 35;184;83;24.51559546;normal;23;6.81;2;1.9;1.4;-;1.2;1;0.8;-;2;2;0.7;0.3;0.9;1.5;-;1.2;0.5;2;0.3;46.7;84.5;-;2.8;0.1
Schalke;Atsuto Uchida;D;R;D(R);25;bis 26;176;62;20.01549587;normal;24;6.86;2.5;2.3;0.8;0.5;1.8;0.9;0.4;-;1;2;0.1;0.5;0.5;1;0.3;1;0.8;2;0.5;43.2;75.8;0.4;1.8;-
Mainz;Bo Svensson;D;C;D(C);33;bis 35;190;87;24.09972299;normal;25;6.8;1.8;1.8;0.9;1;5;0.4;0.6;1;-;1;0.1;0.3;0.1;0.6;-;0.1;0.2;1;0.3;51.2;79.2;-;7;-
Dortmund;Neven Subotic;D;C;D(C);24;bis 26;193;88;23.6247953;normal;25;7.15;1.8;1.9;1;0.9;5.7;0.6;0.4;-;3;-;0.9;0.3;0.2;0.9;-;0.2;0.2;-;0.3;67.8;83.8;0.1;7.7;-
Stuttgart;Serdar Tasci;D;C;D(C);26;bis 30;186;80;23.12406059;normal;25;6.76;2.2;2;0.8;0.9;4.2;0.7;0.8;-;-;-;0.4;0.2;0.3;0.9;-;0.4;0.3;-;0.2;42.6;86.9;0.1;5.6;-
Gladbach;Martin Stranzl;D;C;D(C);33;bis 35;190;83;22.99168975;normal;26;7.26;2.5;1.6;0.9;1.1;7.8;1;0.6;-;5;-;0.7;0.1;0.1;1.1;0.2;0.2;0.1;-;0.1;42.1;83.7;-;2.8;-
Schalke;Klaas-Jan Huntelaar;AM;R;AM(R);29;bis 30;186;78;22.54595907;normal;26;6.85;0.3;0.2;1.7;-;0.6;0.4;-;-;10;4;3;0.8;0.7;1.2;0.7;1.4;1.3;4;0.8;20;74.1;0.2;0.8;-
Leverkusen;Ömer Toprak;D;C;D(C);24;bis 26;186;83;23.99121286;normal;26;6.91;1.4;1.8;1.3;0.3;5.8;0.4;0.4;-;1;1;0.3;0.1;0.3;0.8;-;0.4;0.1;1;0.1;42.8;84.3;-;5.6;-
Schalke;Klaas-Jan Huntelaar;FW;;FW;29;bis 30;186;78;22.54595907;normal;26;6.85;0.3;0.2;1.7;-;0.6;0.4;-;-;10;4;3;0.8;0.7;1.2;0.7;1.4;1.3;4;0.8;20;74.1;0.2;0.8;-
